box_img_group,label,box_img_ratio,IoU,F1,Precision,Recall
<0.05,Brain @ MR,0.003631591796875,0.3354998564620999,0.5024333845319601,0.3354998564620999,1.0
<0.05,Brain @ MR,0.004638671875,0.45193865980482073,0.6225313400850878,0.45193865980482073,1.0
<0.05,Brain @ MR,0.005767822265625,0.41872386997262406,0.5902824063722898,0.41872386997262406,1.0
<0.05,Brain @ MR,0.00701904296875,0.798411781699055,0.8879076414243161,0.9135417781046894,0.8636728356956921
<0.05,Brain @ MR,0.00732421875,0.8021831359115915,0.8902348711701003,0.830182894154813,0.9596521128778872
<0.05,Brain @ MR,0.008392333984375,0.7479507190712064,0.8558029822129523,0.7479507190712064,1.0
<0.05,Brain @ MR,0.009521484375,0.8533167925911581,0.9208536781217197,0.8533167925911581,1.0
<0.05,Brain @ MR,0.0102996826171875,0.8893594892323784,0.9414402016142659,0.8893594892323784,1.0
<0.05,Brain @ MR,0.0111236572265625,0.8297093357400482,0.9069302096602816,0.8309844754046705,0.9981539799616888
<0.05,Brain @ MR,0.0018310546875,0.36158767113840085,0.5311265352984335,0.420752912184564,0.7199998335404829
<0.05,Brain @ MR,0.0128326416015625,0.9647016113336553,0.9820337152152159,0.9994104083268879,0.9652509506910918
<0.05,Brain @ MR,0.002197265625,0.4040604233455765,0.57555987851689,0.4793891051834942,0.7199998335404829
<0.05,Brain @ MR,0.013275146484375,0.8441055364704989,0.91546337210837,0.8685211103125541,0.9677698809182985
<0.05,Brain @ MR,0.0025787353515625,0.45286685889300304,0.6234113692125379,0.576657411604026,0.678415631798594
<0.05,Brain @ MR,0.0146484375,0.8759390751518392,0.9338672953234799,0.9308793010829958,0.9368745334334029
<0.05,Brain @ MR,0.00299072265625,0.5167981430419638,0.6814329848868572,0.616491142995803,0.7616679032798856
<0.05,Brain @ MR,0.0166015625,0.8262716480383495,0.9048726665891917,0.9639831136776138,0.8525925722446125
<0.05,Brain @ MR,0.00299072265625,0.4656929406253526,0.6354577111173914,0.595470776194082,0.6812016270571173
<0.05,Brain @ MR,0.0197601318359375,0.011243887196958454,0.022237735801054093,1.0,0.011243887196958454
<0.05,Brain @ MR,0.0034332275390625,0.6993755482056494,0.8230971063978316,0.7978725030898123,0.8499687228206906
<0.05,Brain @ MR,0.0220184326171875,0.07281774108172857,0.13575044165154465,1.0,0.07281774108172857
<0.05,Brain @ MR,0.003662109375,0.6769682772778747,0.8073715960527984,0.8421769525125526,0.7753289243721936
<0.05,Brain @ MR,0.0238037109375,0.07729885291795821,0.1435049386873243,1.0,0.07729885291795821
<0.05,Brain @ MR,0.003662109375,0.6769682772778747,0.8073715960527984,0.8421769525125526,0.7753289243721936
<0.05,Brain @ MR,0.025634765625,0.5395675656763717,0.7009339215837868,0.6997713698076939,0.7021003425541902
<0.05,Brain @ MR,0.00390625,0.7391616363582002,0.850020631671709,0.9196398687062245,0.790200320190957
<0.05,Brain @ MR,0.026275634765625,0.5104116668322867,0.6758576857430509,0.6525296245252102,0.7009155533438344
<0.05,Brain @ MR,0.003662109375,0.6609643122052203,0.7958802092835754,0.8616263735428784,0.7394562061593336
<0.05,Brain @ MR,0.0282135009765625,0.5564721893485214,0.7150428939966335,0.6984804150176477,0.7324099146819801
<0.05,Brain @ MR,0.003662109375,0.6609643122052203,0.7958802092835754,0.8616263735428784,0.7394562061593336
<0.05,Brain @ MR,0.0295257568359375,0.5994624954578119,0.7495799334591196,0.6743483352637005,0.8437053231874962
<0.05,Brain @ MR,0.0038909912109375,0.9251145414387499,0.9611007776683855,0.9300595496007088,0.9942855834960938
<0.05,Brain @ MR,0.032989501953125,0.636334658709829,0.7777561335913378,0.7155531288229137,0.8518033660097376
<0.05,Brain @ MR,0.002288818359375,0.11528497119975482,0.2067363484253506,0.11528497119975482,1.0
<0.05,Brain @ MR,0.004150390625,0.9820896637093652,0.9909639121687782,0.9920636215251264,0.9898666381835938
<0.05,Brain @ MR,0.0366363525390625,0.6954118975543903,0.8203456617917014,0.7415788632401791,0.9178333282470703
<0.05,Brain @ MR,0.004150390625,0.7428479394415253,0.8524529566010928,0.7458186773309861,0.9946665445963542
<0.05,Brain @ MR,0.004150390625,0.5815785715904614,0.7354406313252164,0.643443421263267,0.8581334431966146
<0.05,Brain @ MR,0.0044097900390625,0.5709687949300142,0.7269002373219648,0.625779565317425,0.8670001029968262
<0.05,Brain @ MR,0.0044097900390625,0.5521892465466802,0.7114973226044364,0.5763269480330134,0.9295001029968262
<0.05,Brain @ MR,0.004669189453125,0.6500957128309567,0.7879490962565218,0.6535218924001639,0.9920001029968262
<0.05,Brain @ MR,0.0179443359375,0.5644834839936145,0.7216228100442107,0.56480260172064,0.999000072479248
<0.05,Brain @ MR,0.00494384765625,0.6999666719564803,0.8235063469225469,0.6999666719564803,1.0
<0.05,Brain @ MR,0.019439697265625,0.5670304204345065,0.7237005906717243,0.5670304204345065,1.0
<0.05,Brain @ MR,0.00494384765625,0.6358448851030004,0.7773901925462384,0.6607687092172182,0.944000244140625
<0.05,Brain @ MR,0.02178955078125,0.6067916418665164,0.7552835427518677,0.6067916418665164,1.0
<0.05,Brain @ MR,0.005218505859375,0.6368237262281298,0.7781213285508954,0.6368237262281298,1.0
<0.05,Brain @ MR,0.02490234375,0.7516652993356282,0.8582293656450464,0.7646423832036836,0.9779200744628906
<0.05,Brain @ MR,0.00579833984375,0.6526684584270197,0.7898359227454705,0.6759985158786316,0.9497773912217882
<0.05,Brain @ MR,0.026458740234375,0.8604288410267228,0.9249790392970625,0.8774756972952319,0.9779200744628906
<0.05,Brain @ MR,0.00579833984375,0.6239247726393323,0.7684158566351321,0.6239247726393323,1.0
<0.05,Brain @ MR,0.0287933349609375,0.7582657406063255,0.862515515254074,0.7591883041941706,0.9983999633789062
<0.05,Brain @ MR,0.006103515625,0.6597025779439674,0.7949648168423094,0.681538190703469,0.9536839535361842
<0.05,Brain @ MR,0.0287933349609375,0.6854792743300394,0.8133938930842212,0.6862331355088434,0.9983999633789062
<0.05,Brain @ MR,0.00579833984375,0.5758561823122198,0.7308486507534951,0.5934216145043162,0.95111083984375
<0.05,Brain @ MR,0.0287933349609375,0.6464370994291594,0.7852557497073983,0.6464370994291594,1.0
<0.05,Brain @ MR,0.006103515625,0.5571167423669611,0.7155747892352531,0.5934216145043162,0.9010523745888158
<0.05,Brain @ MR,0.0287933349609375,0.6563405863126833,0.7925188717059906,0.6570316863901048,0.9983999633789062
<0.05,Brain @ MR,0.006103515625,0.647438657049017,0.7859942514748863,0.6999730215383767,0.8961204749988676
<0.05,Brain @ MR,0.0287933349609375,0.744967109704986,0.8538465917915603,0.7577119822697722,0.9779200744628906
<0.05,Brain @ MR,0.00640869140625,0.6461937797965422,0.7850762015106231,0.8018296274842477,0.7690085392616886
<0.05,Brain @ MR,0.0287933349609375,0.7523409505725668,0.8586695988891248,0.7750206020201883,0.9625599670410157
<0.05,Brain @ MR,0.00640869140625,0.6723051376961091,0.8040460111512021,0.842428640611582,0.7690085392616886
<0.05,Brain @ MR,0.0287933349609375,0.8381651843334047,0.911958502399074,0.8543329883617717,0.9779200744628906
<0.05,Brain @ MR,0.007049560546875,0.8045820901351013,0.8917101577516662,0.9974664034249563,0.8062297530576221
<0.05,Brain @ MR,0.02392578125,0.8090088136335453,0.8944221913530466,0.8563810877949385,0.9360000292460123
<0.05,Brain @ MR,0.0073699951171875,0.6961727285971984,0.8208748046231832,0.9424108635288647,0.7271051940296522
<0.05,Brain @ MR,0.0224609375,0.8778307527068827,0.9349412895081141,0.9649999141693115,0.9066986804505507
<0.05,Brain @ MR,0.0073699951171875,0.6727517391398099,0.8043653142285937,0.8967249428392255,0.7292545665394176
<0.05,Brain @ MR,0.0224609375,0.8237041987730508,0.9033309232135578,0.9140623801765528,0.8928485253682247
<0.05,Brain @ MR,0.0073699951171875,0.6464232704856179,0.7852455466023063,1.0,0.6464232704856179
<0.05,Brain @ MR,0.019866943359375,0.8283622577726436,0.9061248713171045,0.9233730865155315,0.8895092187174388
<0.05,Brain @ MR,0.007720947265625,0.5523748356542546,0.7116513653372306,1.0,0.5523748356542546
<0.05,Brain @ MR,0.018585205078125,0.8453013619328884,0.9161661930899622,0.9132841389921393,0.9190664945884899
<0.05,Brain @ MR,0.0073699951171875,0.7715377114035866,0.8710372987683096,1.0,0.7715377114035866
<0.05,Brain @ MR,0.0145263671875,0.7915453939051714,0.8836453673995701,0.7915453939051714,1.0
<0.05,Brain @ MR,0.0080108642578125,0.602829817804293,0.7522068919707345,0.8774984980123282,0.6582239047139107
<0.05,Brain @ MR,0.0126953125,0.7071014309871654,0.8284234529383177,0.7071014309871654,1.0
<0.05,Brain @ MR,0.00762939453125,0.7916205564994485,0.8836922010385431,0.8221490809910931,0.9551946320029776
<0.05,Brain @ MR,0.010986328125,0.6598342680712469,0.7950604235180474,0.6607986872879631,0.9977930003199084
<0.05,Brain @ MR,0.008331298828125,0.5068329756949761,0.6727128804189016,0.6692827679372467,0.6761783330664038
<0.05,Brain @ MR,0.0093994140625,0.7321610708276755,0.845372965780634,0.733918097019894,0.9967408356843172
<0.05,Brain @ MR,0.008331298828125,0.5068329756949761,0.6727128804189016,0.6692827679372467,0.6761783330664038
<0.05,Brain @ MR,0.008331298828125,0.5233858669971222,0.68713499099058,0.5233858669971222,1.0
<0.05,Brain @ MR,0.00982666015625,0.4602405927655631,0.6303626882388048,0.7202742592317875,0.5604072564347374
<0.05,Brain @ MR,0.006591796875,0.5006030779598702,0.6672025205232287,0.5006030779598702,1.0
<0.05,Brain @ MR,0.0101776123046875,0.48045128415681587,0.6490605794306222,0.7202742888778125,0.5906617008436883
<0.05,Brain @ MR,0.0059661865234375,0.6179353759358095,0.7638566844221417,0.6179353759358095,1.0
<0.05,Brain @ MR,0.0185546875,0.3190755651286246,0.48378663598019295,0.8155486483328096,0.34389250494666407
<0.05,Brain @ MR,0.00201416015625,0.20067755845124724,0.33427385568878465,0.20067755845124724,1.0
<0.05,Brain @ MR,0.01971435546875,0.4162083075283626,0.5877783731614314,0.913563747350556,0.433270176953749
<0.05,Brain @ MR,0.0208282470703125,0.4482012769386126,0.6189764973637863,1.0,0.4482012769386126
<0.05,Brain @ MR,0.0220184326171875,0.4161152979086714,0.5876856192757656,1.0,0.4161152979086714
0.25~0.30,Brain @ MR,0.26727294921875,0.08371510558197463,0.15449651878206147,1.0,0.08371510558197463
<0.05,Brain @ MR,0.0238037109375,0.5417113104651653,0.7027402689310492,1.0,0.5417113104651653
<0.05,Brain @ MR,0.00244140625,0.06576223768572487,0.12340883427907122,0.06576223768572487,1.0
<0.05,Brain @ MR,0.0256500244140625,0.5325270242208785,0.6949659168217408,0.9983552936999707,0.5329946169027607
<0.05,Brain @ MR,0.027557373046875,0.5891768647126343,0.7414868386209149,1.0,0.5891768647126343
<0.05,Brain @ MR,0.0281982421875,0.5083036547145313,0.6740070583608515,1.0,0.5083036547145313
<0.05,Brain @ MR,0.028839111328125,0.4450200455151746,0.6159361552060924,1.0,0.4450200455151746
<0.05,Head-Neck @ MR,0.000797271728515625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.0026702880859375,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00226593017578125,0.03972343076220588,0.07641153327300745,0.1652642319368979,0.049694026004598366
<0.05,Head-Neck @ MR,0.00067138671875,0.0,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.000640869140625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00090789794921875,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00103759765625,0.5818539975600757,0.7356608112475034,0.8475437545639756,0.6498721866169944
<0.05,Head-Neck Tumor/Lesion @ MR,0.0012969970703125,0.738819124730553,0.8497941093729806,0.9226133889729715,0.7876287848798951
<0.05,Head-Neck Tumor/Lesion @ MR,0.001361846923828125,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.000743865966796875,0.0,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.0005340576171875,0.0,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.00049591064453125,0.0,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.00067138671875,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.001556396484375,0.5047757029803622,0.6708982634164046,0.827514691515579,0.5641302855118461
<0.05,Head-Neck Tumor/Lesion @ MR,0.00293731689453125,0.686393338290546,0.8140370608749268,0.9643808890102835,0.704247221200993
<0.05,Head-Neck Tumor/Lesion @ MR,0.0031585693359375,0.6155258324347226,0.7620129868268061,0.95937216782685,0.6319998604910714
<0.05,Head-Neck Tumor/Lesion @ MR,0.0021820068359375,0.6073661195766479,0.7557284083312861,0.7880294197483877,0.7259711409932269
<0.05,Head-Neck Tumor/Lesion @ MR,0.00090789794921875,0.6285555494035083,0.7719178503106383,0.8060438857551562,0.7405640785851014
<0.05,Head-Neck Tumor/Lesion @ MR,0.000823974609375,0.7035011481332222,0.8259473718631212,0.9795021573227539,0.7140128638092329
<0.05,Head-Neck Tumor/Lesion @ MR,0.005035400390625,0.3855033900743149,0.5564813378820206,0.9308895118649274,0.39686168649449716
<0.05,Head-Neck Tumor/Lesion @ MR,0.00543975830078125,0.8181267486957445,0.8999666819517811,0.9494107746257233,0.8554176313512855
<0.05,Head-Neck Tumor/Lesion @ MR,0.00579071044921875,0.6137175922267282,0.7606257689486731,0.9431148121065215,0.6373089660366531
<0.05,Head-Neck Tumor/Lesion @ MR,0.00446319580078125,0.5557391653327839,0.7144374554765512,0.9247449294982694,0.5820633587900704
<0.05,Head-Neck Tumor/Lesion @ MR,0.001739501953125,0.8710038910899998,0.9310551359490491,0.9501689212522458,0.9126951798148777
<0.05,Head-Neck Tumor/Lesion @ MR,0.0039520263671875,0.4743759932773595,0.643493919380604,0.9897205447980154,0.4767248036918123
<0.05,Head-Neck Tumor/Lesion @ MR,0.006809234619140625,0.7426739580676739,0.8523383902415937,0.9974180628675773,0.7441044998966048
<0.05,Head-Neck Tumor/Lesion @ MR,0.00677490234375,0.8112984064836315,0.8958197098606713,0.9650869330521521,0.8358296731718922
<0.05,Head-Neck Tumor/Lesion @ MR,0.006725311279296875,0.9401068583918057,0.9691289470221033,0.9697871899737313,0.9684715970290458
<0.05,Head-Neck Tumor/Lesion @ MR,0.006256103515625,0.9286745097200806,0.9630183890954875,0.9524864555191985,0.9737858364301829
<0.05,Head-Neck Tumor/Lesion @ MR,0.00565338134765625,0.9047678037058872,0.9500032517827998,0.9047678037058872,1.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.0050811767578125,0.9068671249811115,0.9511592214272345,0.9494357983489682,0.952888912624783
<0.05,Head-Neck Tumor/Lesion @ MR,0.003204345703125,0.9296598232479416,0.9635478876097114,0.960010842219628,0.9671110930266203
<0.05,Head-Neck Tumor/Lesion @ MR,0.00057220458984375,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.002288818359375,0.7192209133947196,0.8366823690791064,0.9940971460223277,0.7223056389088067
<0.05,Head-Neck @ MR,0.0007781982421875,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00714111328125,0.47629180600635146,0.6452542838326941,1.0,0.47629180600635146
<0.05,Head-Neck Tumor/Lesion @ MR,0.010654449462890625,0.6553600402105422,0.7918036249409381,1.0,0.6553600402105422
<0.05,Head-Neck Tumor/Lesion @ MR,0.011867523193359375,0.8986573250093828,0.9466240307528287,0.951981679647264,0.9413263488958279
<0.05,Head-Neck Tumor/Lesion @ MR,0.013671875,0.5102545829099564,0.6757199596465366,0.9765624292384095,0.5165807066197691
<0.05,Head-Neck Tumor/Lesion @ MR,0.0157928466796875,0.8599394078506668,0.9246961532412573,1.0,0.8599394078506668
<0.05,Head-Neck Tumor/Lesion @ MR,0.016021728515625,0.855590010708364,0.9221757023597534,1.0,0.855590010708364
<0.05,Head-Neck Tumor/Lesion @ MR,0.014476776123046875,0.8729730488102246,0.9321789754153338,0.9853593401205697,0.8844450104520438
<0.05,Head-Neck Tumor/Lesion @ MR,0.01190185546875,0.7158414150806184,0.8343911142242534,1.0,0.7158414150806184
<0.05,Head-Neck Tumor/Lesion @ MR,0.007965087890625,0.734003282131109,0.8465996456811904,1.0,0.734003282131109
<0.05,Head-Neck Tumor/Lesion @ MR,0.002349853515625,0.729624450207003,0.8436796208791808,0.992453374830253,0.7336950427310531
<0.05,Head-Neck Tumor/Lesion @ MR,0.004150390625,0.936396571747123,0.9671537177968196,0.9609683864890045,0.973419189453125
<0.05,Head-Neck Tumor/Lesion @ MR,0.005802154541015625,0.9416107694006238,0.9699274275155566,0.9416107694006238,1.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.006725311279296875,0.9322978274084059,0.9649628687507267,0.9717336995356208,0.9582857404436383
<0.05,Head-Neck Tumor/Lesion @ MR,0.0075531005859375,0.9423188395515572,0.9703029393146595,0.964288952827884,0.9763924115121829
<0.05,Head-Neck Tumor/Lesion @ MR,0.009521484375,0.8558775862406133,0.9223427154743915,1.0,0.8558775862406133
<0.05,Head-Neck Tumor/Lesion @ MR,0.009906768798828125,0.8601599473219651,0.9248236406340434,1.0,0.8601599473219651
<0.05,Head-Neck Tumor/Lesion @ MR,0.00897216796875,0.7808542454496343,0.8769434640087375,1.0,0.7808542454496343
<0.05,Head-Neck Tumor/Lesion @ MR,0.00652313232421875,0.9322095864253654,0.9649156002273809,0.97786475434491,0.9523049165146924
<0.05,Head-Neck Tumor/Lesion @ MR,0.005126953125,0.9422264351370289,0.9702539498908143,0.9715060030048537,0.9690051198536552
<0.05,Head-Neck Tumor/Lesion @ MR,0.002471923828125,0.9515363776379269,0.9751664263513592,0.9920136881208229,0.9588818392084825
<0.05,Head-Neck Tumor/Lesion @ MR,0.000843048095703125,0.0,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.00079345703125,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00176239013671875,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.002384185791015625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.002471923828125,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.0020599365234375,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.000644683837890625,0.4012537478886437,0.572706761346027,0.4012537478886437,1.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.003662109375,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.0054931640625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00640869140625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.006591796875,0.7706988260909131,0.8705024420130757,0.9525390192989839,0.8014760305091603
<0.05,Head-Neck Tumor/Lesion @ MR,0.0050048828125,0.5938035854259407,0.7451402303970196,0.8712519312571255,0.6509209318296804
<0.05,Head-Neck Tumor/Lesion @ MR,0.002655029296875,0.8450858726045759,0.9160396111121143,0.8450858726045759,1.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.001087188720703125,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.001522064208984375,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.0030975341796875,0.0955757441280317,0.17447583088670954,0.2990109402946287,0.12317475818452381
<0.05,Head-Neck Tumor/Lesion @ MR,0.003604888916015625,0.3463887574041635,0.5145449343650207,0.8928564666614699,0.36141153050763575
<0.05,Head-Neck Tumor/Lesion @ MR,0.00469207763671875,0.8382873025617656,0.9120307814709497,0.9477037924686111,0.878945921239411
<0.05,Head-Neck Tumor/Lesion @ MR,0.007175445556640625,0.7203825400802085,0.837467857638944,0.9317157692029244,0.7605357029593246
<0.05,Head-Neck Tumor/Lesion @ MR,0.0080108642578125,0.908184268118768,0.9518831941887086,0.9416754056744214,0.962314713393001
<0.05,Head-Neck Tumor/Lesion @ MR,0.008609771728515625,0.8401600569593128,0.9131380216431786,0.9407405889367882,0.8871090736110798
<0.05,Head-Neck Tumor/Lesion @ MR,0.007965087890625,0.9308864131031126,0.9642062907336867,0.9681867054399484,0.9602584706315943
<0.05,Head-Neck Tumor/Lesion @ MR,0.006622314453125,0.901610440713924,0.9482598763766056,0.907767499739664,0.9925333658854166
<0.05,Head-Neck Tumor/Lesion @ MR,0.006267547607421875,0.5338225114882774,0.696068166283863,0.94455615385213,0.5510906488180924
<0.05,Head-Neck Tumor/Lesion @ MR,0.005420684814453125,0.5616748759918423,0.7193237012731148,0.9016865502773644,0.5983163748474215
<0.05,Head-Neck Tumor/Lesion @ MR,0.00274658203125,0.6550676032869215,0.7915901465124133,0.8425839958797023,0.7464164339963799
<0.05,Head-Neck Tumor/Lesion @ MR,0.001377105712890625,0.7595890804928274,0.8633709869125591,0.8034956773751073,0.9328884548611112
<0.05,Head-Neck Tumor/Lesion @ MR,0.00193023681640625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00267791748046875,0.9194496093842199,0.9580346416900095,0.9638127553949363,0.9523253953786424
<0.05,Head-Neck Tumor/Lesion @ MR,0.002777099609375,0.8993087902049725,0.9469853399750964,0.8997887874546204,0.9994071677879051
<0.05,Head-Neck Tumor/Lesion @ MR,0.00240325927734375,0.7498886455495026,0.8570701312414328,0.8491847208552632,0.8651033598801185
<0.05,Head-Neck Tumor/Lesion @ MR,0.001667022705078125,0.7477132509841826,0.8556475160477566,0.8538481585433554,0.857454473322088
<0.05,Head-Neck Tumor/Lesion @ MR,0.000457763671875,0.0,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.00069427490234375,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00103759765625,0.0,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.00193023681640625,0.0,0.0,0.0,0.0
